governorate,male,female
Cairo,4453589,4308914
Alexandria,2302902,2205783
Port Said,320033,308407
Suez,293562,282717
Damietta,634140,606044
Dakahlia,2823434,2736264
Sharkia,3082936,2927494
Kalyoubia,2445735,2308309
Kafr El-Shikh,1485843,1454187
Gharbia,2250563,2187857
Menoufia,1884199,1772640
Behera,2731304,2596250
Ismailia,547800,528786
Giza,3601273,3378402
Beni Suef,1321606,1275027
Fayoum,1489620,1392172
Menia,2399555,2300803
Asyout,1985296,1903012
Suhag,2130823,2079828
Qena,1404705,1395668
Aswan,665664,656651
Luxor,542708,521415
Red Sea,194581,125741
New Valley,107080,101311
Matrouh,203691,184917
North Sinai,205324,189947
South Sinai,105946,53083
