governorate	total	id
Al Qahirah	8762503	11
Al Iskandariyah	4508685	6
Bur Sa`id	628440	20
As Suways	576279	15
Dumyat	1240184	21
Ad Daqahliyah	5559698	1
Ash Sharqiyah	6010430	16
Al Qalyubiyah	4754044	12
Kafr ash Shaykh	2940030	23
Al Gharbiyah	4438420	5
Al Minufiyah	3656839	9
Al Buhayrah	5327554	3
Al Isma`iliyah	1076586	7
Al Jizah	6979675	8
Bani Suwayf	2596633	19
Al Fayyum	2881792	4
Al Minya	4700358	10
Asyut	3888308	18
Suhaj	4210651	27
Qina	2800373	25
Aswan	1322315	17
Al Uqsur	1064123	13
Al Bahr al Ahmar	320322	2
Al Wadi al Jadid	208391	14
Matrouh	388608	24
Janub Sina	395271	22
Shamal Sina	159029	26
